Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;GRFmoderate;08-05;515541639200156;39593597;37436745;2156852;4235215;28583
OF1;512;GRFmoderate;08-06;462844242672499;36998443;35745435;1253008;3815696;16442
OF1;512;GRFmoderate;08-07;450323514068643;54294614;52996290;1298324;3991398;17113
OF1;512;GRFmoderate;08-09;523051543272098;49001184;47664211;1336973;4143284;20718
OF1;512;GRFmoderate;08-10;432341901159435;40228737;38848770;1379967;3990091;18708
OF1;512;GRFmoderate;09-06;656411512919207;36538862;35312530;1226332;4490578;28254
OF1;512;GRFmoderate;09-07;542001094481016;45257847;43178310;2079537;4263406;22453
OF1;512;GRFmoderate;10-01;650444812681182;34276502;32870947;1405555;4635832;23984
OF1;512;GRFmoderate;10-02;709723625190139;53127432;51761474;1365958;4756861;20393
OF1;512;GRFmoderate;10-05;514372562495199;43217360;42102511;1114849;4142129;20100
OF1;512;GRFmoderate;10-06;550190058117650;35753018;34620849;1132169;4485398;19790
OF1;512;GRFmoderate;10-07;475843570333862;50261344;48011970;2249374;4189775;29893
OF1;512;GRFmoderate;10-09;565813772878507;43365283;42047840;1317443;4097698;19117
OF1;512;GRFrough;01-05;256133007899593;71823695;70544167;1279528;3445805;18921
OF1;512;GRFrough;01-06;152125464799164;22194910;21032715;1162195;3057092;11672
OF1;512;GRFrough;01-07;257839676670702;12760142;12085206;674936;3546462;8824
OF1;512;GRFrough;01-09;256265665875963;28282438;27171241;1111197;3331292;12583
OF1;512;GRFrough;02-01;228414431851353;45812617;44712780;1099837;3448305;14635
OF1;512;GRFrough;02-05;170201381891810;28615012;27626436;988576;3079316;12822
OF1;512;GRFrough;02-06;199062291346280;35103901;33983494;1120407;3339706;16387
OF1;512;GRFrough;02-07;253904304741501;31946600;30576824;1369776;3291364;12883
OF1;512;GRFrough;02-09;156957116921300;21852626;20672136;1180490;3070208;9949
OF1;512;GRFrough;03-01;233029738518594;32453112;31600214;852898;3272153;13989
OF1;512;GRFrough;03-02;286883758200935;24030179;22735120;1295059;3419701;12495
OF1;512;GRFrough;03-04;304429257402860;32922066;32104692;817374;3678525;13880
OF1;512;GRFrough;03-05;319514286415132;42960648;41737879;1222769;3624126;17041
OF1;512;GRFrough;03-06;210173157815232;22861149;21897634;963515;3251985;11269
OF1;512;GRFrough;03-07;270106765733470;27646697;26593217;1053480;3538670;11189
OF1;512;GRFrough;03-09;335796925505136;21284290;20443467;840823;3659271;10936
OF1;512;GRFrough;03-10;314759560797314;40307660;39066984;1240676;3636874;16263
OF1;512;GRFrough;04-01;194188027064767;30240861;29297360;943501;3243591;13240
OF1;512;GRFrough;04-02;137053430502172;48206753;47181554;1025199;2920391;13803
OF1;512;GRFrough;04-05;160707662839625;30682505;29765400;917105;3062401;10995
OF1;512;GRFrough;04-06;187685756979535;21042585;20055827;986758;3203451;11434
OF1;512;GRFrough;04-07;245335790397442;24931605;23906018;1025587;3325543;11112
OF1;512;GRFrough;04-09;163801857051118;25431220;24115522;1315698;3111212;11934
OF1;512;GRFrough;04-10;274275166856067;25088583;24152143;936440;3431103;15959
OF1;512;GRFrough;05-06;246663543030313;62751369;61323203;1428166;3453058;16179
OF1;512;GRFrough;05-07;293234529493127;38777738;37570898;1206840;3611320;16537
OF1;512;GRFrough;05-09;170683380828390;25130054;24315923;814131;2999540;10577
OF1;512;GRFrough;07-06;208870123760689;16977907;16283304;694603;3271333;10448
OF1;512;GRFrough;08-01;208767644713149;23648448;22900206;748242;3208347;10823
OF1;512;GRFrough;08-02;194972526320281;24157189;23056672;1100517;3160084;11395
OF1;512;GRFrough;08-03;291026600245591;36453938;35600980;852958;3392044;11675
OF1;512;GRFrough;08-04;161994803106109;18714292;17759595;954697;3131316;10578
OF1;512;GRFrough;08-05;219286431871018;33065910;31970165;1095745;3266048;12746
