Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,GRFrough,09-08,64158761791,196,0,18093,219
OF1,32,GRFrough,09-10,63217843948,160,0,16186,153
OF1,32,GRFrough,10-08,81336719033,189,0,18842,216
OF1,32,GRFsmooth,01-02,403842162860,189,0,18643,211
OF1,32,GRFsmooth,01-03,697856605326,211,0,20306,234
OF1,32,GRFsmooth,01-04,373911573885,197,0,19048,222
OF1,32,GRFsmooth,01-05,297729064938,209,0,20139,282
OF1,32,GRFsmooth,01-06,259629479824,219,0,21158,258
OF1,32,GRFsmooth,01-07,138799197840,267,0,25026,339
OF1,32,GRFsmooth,01-08,383713623984,173,0,15813,189
OF1,32,GRFsmooth,01-09,327953388574,236,0,22314,320
OF1,32,GRFsmooth,01-10,446012564039,201,0,18607,245
OF1,32,GRFsmooth,02-04,695828640108,226,0,19783,246
OF1,32,GRFsmooth,02-05,506849834076,195,0,19177,223
OF1,32,GRFsmooth,02-06,278850001796,198,0,17426,240
OF1,32,GRFsmooth,02-08,234095195285,201,0,19687,236
OF1,32,GRFsmooth,02-09,456026688321,188,0,19241,212
OF1,32,GRFsmooth,02-10,379977180450,195,0,21000,218
OF1,32,GRFsmooth,03-02,558632756688,198,0,21205,251
OF1,32,GRFsmooth,03-04,840569253383,169,0,17703,170
OF1,32,GRFsmooth,03-05,738317538229,227,0,21635,263
OF1,32,GRFsmooth,03-06,541390988378,243,0,22560,306
OF1,32,GRFsmooth,03-08,404005721605,214,0,21662,245
OF1,32,GRFsmooth,03-09,496898116814,224,0,18936,321
OF1,32,GRFsmooth,03-10,433513687067,206,0,19877,208
OF1,32,GRFsmooth,04-05,270165960994,197,0,19580,237
OF1,32,GRFsmooth,04-08,626336320388,164,0,15550,173
OF1,32,GRFsmooth,04-10,486414760690,136,0,14745,125
OF1,32,GRFsmooth,05-08,475088710766,186,0,19171,176
OF1,32,GRFsmooth,05-10,394613715679,226,0,21151,306
OF1,32,GRFsmooth,06-04,473390987728,202,0,20534,217
OF1,32,GRFsmooth,06-05,309789506399,217,0,21461,266
OF1,32,GRFsmooth,06-08,213794664855,200,0,19919,224
OF1,32,GRFsmooth,06-09,322293151395,270,0,21145,361
OF1,32,GRFsmooth,06-10,283217896601,232,0,20745,296
OF1,32,GRFsmooth,07-02,366323901452,187,0,19308,189
OF1,32,GRFsmooth,07-03,721063489712,268,0,22000,326
OF1,32,GRFsmooth,07-04,422490857745,205,0,20180,217
OF1,32,GRFsmooth,07-05,290741726016,228,0,20482,241
OF1,32,GRFsmooth,07-06,227933659028,231,0,21044,269
OF1,32,GRFsmooth,07-08,365598131836,185,0,20224,188
OF1,32,GRFsmooth,07-09,348269920197,197,0,21529,251
OF1,32,GRFsmooth,07-10,378164308851,218,0,19558,284
OF1,32,GRFsmooth,09-04,415669235129,173,0,18390,164
OF1,32,GRFsmooth,09-05,357776853222,262,0,20911,366
OF1,32,GRFsmooth,09-08,293907355242,203,0,18661,200
OF1,32,GRFsmooth,09-10,236698230761,231,0,20762,296
OF1,32,GRFsmooth,10-08,230845592661,273,0,23718,449
OF1,32,LogGRF,01-02,388080355449,206,0,18205,245
OF1,32,LogGRF,01-03,731166838529,259,0,22698,340
OF1,32,LogGRF,01-04,696013438540,241,0,19831,388
OF1,32,LogGRF,01-05,1177229400290,179,0,18715,184
OF1,32,LogGRF,01-06,501866953266,178,0,20434,210
OF1,32,LogGRF,01-07,285623439437,201,0,19184,207
OF1,32,LogGRF,01-08,540550350076,239,0,20161,342
OF1,32,LogGRF,01-09,1099790842629,241,0,22625,316
OF1,32,LogGRF,01-10,847354854882,180,0,18722,186
OF1,32,LogGRF,02-04,550030641540,227,0,20862,309
OF1,32,LogGRF,02-05,943017112280,168,0,15704,149
OF1,32,LogGRF,02-06,382661155100,177,0,18390,193
OF1,32,LogGRF,02-08,299066934684,184,0,18242,223
OF1,32,LogGRF,02-09,843561714048,216,0,21026,258
OF1,32,LogGRF,02-10,587866598843,180,0,17057,171
OF1,32,LogGRF,03-02,564226151798,217,0,20190,280
OF1,32,LogGRF,03-04,871541920874,246,0,24540,297
OF1,32,LogGRF,03-05,829337896562,267,0,20322,488
OF1,32,LogGRF,03-06,660345809787,195,0,20036,249
